Author & Year,Title of Research,Methodology,Result,Contribution to Knowledge,Research Gap / Limitation
Adnan et al. (2025),Improving acceptability of mHealth apps – The use of TAM: Systematic review,Systematic review of TAM-based mHealth studies,Perceived usefulness and ease of use remain strongest predictors of mHealth adoption,Validated TAM as the dominant framework for mHealth acceptability assessment,Did not examine offline-specific design factors; limited to English-language studies
"Aboye, Simegn & Aerts (2024)",Assessment of barriers and enablers of mHealth in Sub-Saharan Africa,"Qualitative study; semi-structured interviews with patients, physicians, executives in Ethiopia",Identified 137 determinants of mHealth adoption; lack of local digital health systems and interoperability as key barriers,Multi-stakeholder perspective on mHealth adoption barriers in SSA,Ethiopian context only; may not generalize to all SSA countries
"Aboye, Vande Walle et al. (2023)",mHealth in SSA and Europe: A systematic review,"Systematic review (Scopus, WoS, IEEE, PubMed); PRISMA 2020",Significant gaps in mHealth maturity between SSA and Europe; most SSA systems remain at pilot stage,First comparative review of mHealth readiness between SSA and Europe,English-language articles only; potential publication bias
Ahmat et al. (2022),The health workforce status in the WHO African Region,Cross-sectional study; 47 WHO African Member States,"Physician/nurse/midwife density of 1.55 per 1,000; 6.1 million shortfalls projected by 2030",Definitive regional health workforce baseline for the African continent,Aggregated national data may mask sub-national disparities
"Bangor, Kortum & Miller (2008)",An empirical evaluation of the System Usability Scale,Empirical analysis of ~10 years of SUS data across multiple products,"SUS reliability ≥0.90 in large samples; adjective rating scale proposed (85+ = Excellent, <70 = Poor)",Validated SUS as reliable and provided interpretive benchmarks,"Data primarily from technology products, not healthcare-specific applications"
Borodo et al. (2022),The burden of polypharmacy and potentially inappropriate medication in Nigeria,Systematic literature review of Nigerian polypharmacy studies,25–35% of older Nigerians experience polypharmacy; PIM prevalence 25.5–57.6%,First synthesis of polypharmacy burden specifically in Nigeria,Literature predominantly from South-Western Nigeria
Brooke (1996),SUS: A ‘quick and dirty’ usability scale,10-item Likert-scale instrument development; selected from pool of 50 items,Composite usability score (0–100) with strong inter-item correlations (r = 0.7–0.9),Created the most widely used standardized usability questionnaire,Original work lacked formal reliability/validity analysis
Davis (1989),"Perceived usefulness, perceived ease of use, and user acceptance of IT",Theoretical model development and empirical validation,Perceived usefulness and ease of use significantly predict technology adoption,Established the Technology Acceptance Model – foundational IT adoption framework,Original validation in workplace IT; generalizability to health contexts requires extension
Deng et al. (2020),A multimodal deep learning framework for predicting DDI events,"Multimodal deep learning integrating chemical, target, enzyme, pathway features",Accuracy: 88.5%; AUPR: 0.92 across 65 DDI event categories,Demonstrated that pharmacological multi-modality improves DDI prediction accuracy,Computationally expensive; not designed for mobile deployment
Egwudo et al. (2025),Integrating digital health technologies into healthcare in Nigeria,"Scoping review; PubMed, Scopus, WoS, CINAHL, Google Scholar (2014–2024); 31 studies",DHTs enhanced adherence and utilization; poor connectivity and financial constraints persist,Comprehensive mapping of digital health integration challenges in Nigeria,Potential publication bias; exclusion of grey literature
