feature,importance
drug_risk_prod,0.19670795735726457
drug_risk_min,0.18216029561157646
drug_risk_max,0.11572938114109872
drug_risk_a,0.10369428602394554
drug_risk_b,0.09543156710459656
atc_missing_either,0.08155535766747979
half_life_ratio,0.04840989397437695
half_life_missing,0.03650860624402006
drug_type_match,0.03273938036573757
category_overlap,0.029548690676896416
inhibitor_substrate_count,0.018302621832770708
inhibitor_substrate,0.01661162409122269
atc_overlap_1,0.00830236649183663
shared_cyp_count,0.007568670309834295
inducer_substrate_count,0.0066864127297512595
both_substrates,0.006404203623749056
inducer_substrate,0.004914134916173404
nti_either,0.004020599081623899
atc_overlap_3,0.0020445327787589076
atc_overlap_4,0.0013481352065722238
bleeding_risk_combo,0.0005553578457448363
both_cns_depressant,0.00024272495316187646
both_serotonergic,0.0001566493033557332
atc_overlap_5,0.00014536250293380762
both_nephrotoxic,0.00013938524030499564
both_qt_prolong,7.004990142937523e-05
nti_both,1.753023783689086e-06
